Time,Freq_Hz,Va_V,Vb_V,Vc_V,Vnavg_V,Vab_V,Vbc_V,Vca_V,Vlavg_V,Ia_A,Ib_A,Ic_A,Iavg_A,PFa,PFb,PFc,PF,LCavg,LCa,LCb,LCc,LC001,LC002,LC003,LC004,LC005,LC006,LC007,LC008,LC009,LCs1,LCs2,LCs3,I001_A,PF001,I002_A,PF002,I003_A,PF003,I004_A,PF004,I005_A,PF005,I006_A,PF006,I007_A,PF007,I008_A,PF008,I009_A,PF009,PFs1,PFs2,PFs3,Pa_kW,Pb_kW,Pc_kW,P_kW,Qa_kvar,Qb_kvar,Qc_kvar,Q_kvar,Sa_kVA,Sb_kVA,Sc_kVA,S_kVA,P001_kW,Q001_kvar,S001_kVA,P002_kW,Q002_kvar,S002_kVA,P003_kW,Q003_kvar,S003_kVA,P004_kW,Q004_kvar,S004_kVA,P005_kW,Q005_kvar,S005_kVA,P006_kW,Q006_kvar,S006_kVA,P007_kW,Q007_kvar,S007_kVA,P008_kW,Q008_kvar,S008_kVA,P009_kW,Q009_kvar,S009_kVA,Ps1_kW,Qs1_kvar,Ss1_kVA,Ps2_kW,Qs2_kvar,Ss2_kVA,Ps3_kW,Qs3_kvar,Ss3_kVA,EPa_IMP_kWh,EPb_IMP_kWh,EPc_IMP_kWh,EP_IMP_kWh,EP001_IMP_kWh,EP002_IMP_kWh,EP003_IMP_kWh,EP004_IMP_kWh,EP005_IMP_kWh,EP006_IMP_kWh,EP007_IMP_kWh,EP008_IMP_kWh,EP009_IMP_kWh,EPs1_IMP_kWh,EPs2_IMP_kWh,EPs3_IMP_kWh,EQa_IMP_kvarh,EQb_IMP_kvarh,EQc_IMP_kvarh,EQ_IMP_kvarh,EQ001_IMP_kvarh,EQ002_IMP_kvarh,EQ003_IMP_kvarh,EQ004_IMP_kvarh,EQ005_IMP_kvarh,EQ006_IMP_kvarh,EQ007_IMP_kvarh,EQ008_IMP_kvarh,EQ009_IMP_kvarh,EQs1_IMP_kvarh,EQs2_IMP_kvarh,EQs3_IMP_kvarh,ESa_kVAh,ESb_kVAh,ESc_kVAh,ES_kVAh,ES001_kVAh,ES002_kVAh,ES003_kVAh,ES004_kVAh,ES005_kVAh,ES006_kVAh,ES007_kVAh,ES008_kVAh,ES009_kVAh,ESs1_kVAh,ESs2_kVAh,ESs3_kVAh,Unbl_V,THD_Va,THD_Vb,THD_Vc,THD_Vavg,Unbl_I,OTHD_Va,ETHD_Va,CF_Va,THFF_Va,OTHD_Vb,ETHD_Vb,CF_Vb,THFF_Vb,OTHD_Vc,ETHD_Vc,CF_Vc,THFF_Vc,OTHD_I001,ETHD_I001,KF_I001,OTHD_I002,ETHD_I002,KF_I002,OTHD_I003,ETHD_I003,KF_I003,OTHD_I004,ETHD_I004,KF_I004,OTHD_I005,ETHD_I005,KF_I005,OTHD_I006,ETHD_I006,KF_I006,OTHD_I007,ETHD_I007,KF_I007,OTHD_I008,ETHD_I008,KF_I008,OTHD_I009,ETHD_I009,KF_I009,DMD_P_kW,DMD_Q_kvar,DMD_S_kVA,DMD_Ia_A,DMD_Pa_kW,DMD_Qa_kvar,DMD_Sa_kVA,DMD_Ib_A,DMD_Pb_kW,DMD_Qb_kvar,DMD_Sb_kVA,DMD_Ic_A,DMD_Pc_kW,DMD_Qc_kvar,DMD_Sc_kVA,DMD_I001_A,DMD_P001_kW,DMD_Q001_kvar,DMD_S001_kVA,DMD_I002_A,DMD_P002_kW,DMD_Q002_kvar,DMD_S002_kVA,DMD_I003_A,DMD_P003_kW,DMD_Q003_kvar,DMD_S003_kVA,DMD_I004_A,DMD_P004_kW,DMD_Q004_kvar,DMD_S004_kVA,DMD_I005_A,DMD_P005_kW,DMD_Q005_kvar,DMD_S005_kVA,DMD_I006_A,DMD_P006_kW,DMD_Q006_kvar,DMD_S006_kVA,DMD_I007_A,DMD_P007_kW,DMD_Q007_kvar,DMD_S007_kVA,DMD_I008_A,DMD_P008_kW,DMD_Q008_kvar,DMD_S008_kVA,DMD_I009_A,DMD_P009_kW,DMD_Q009_kvar,DMD_S009_kVA,DMD_Ps1_kW,DMD_Qs1_kvar,DMD_Ss1_kVA,DMD_Ps2_kW,DMD_Qs2_kvar,DMD_Ss2_kVA,DMD_Ps3_kW,DMD_Qs3_kvar,DMD_Ss3_kVA,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8
2022-08-08 07:44:00,50.573,229.441,231.364,231.711,230.839,398.511,402.096,399.154,399.920,7.583,3.574,2.990,4.716,0.892,0.651,0.971,0.848,L,L,C,L,R,L,R,R,C,R,R,L,R,R,L,R,0.000,1.000,7.634,0.886,0.000,1.000,0.000,1.000,3.576,0.650,0.000,1.000,0.000,1.000,2.992,0.979,0.000,1.000,1.000,0.842,1.000,1.552,0.538,0.673,2.763,0.649,-0.131,0.039,0.557,1.740,0.827,0.693,3.260,0.000,0.000,0.000,1.550,0.649,1.751,0.000,0.000,0.000,0.000,0.000,0.000,0.537,-0.131,0.827,0.000,0.000,0.000,0.000,0.000,0.000,0.678,0.033,0.693,0.000,0.000,0.000,0.000,0.000,0.000,2.766,0.551,3.283,0.000,0.000,0.000,35137.801,51027.398,36615.801,122781.000,11387.000,23524.699,226.200,32114.900,18469.199,443.500,17081.600,19034.801,499.500,60466.699,61011.699,1166.000,13668.500,10975.900,14410.600,39055.000,3201.200,8894.600,1572.800,5956.600,3554.300,1465.000,2246.200,10346.400,1818.000,11388.400,22761.100,4841.000,41243.301,53473.301,44406.398,139123.000,11644.600,27991.301,1607.400,32861.102,19019.500,1592.800,17621.100,24862.500,1922.900,62006.801,71847.898,5107.500,0.900,151,240,194,195,98.500,151,0,1.448,65,240,0,1.473,112,194,0,1.453,21,0,0,0.000,2698,80,2.000,0,0,0.000,0,0,0.000,9999,92,18.100,0,0,0.000,0,0,0.000,2159,53,3.400,0,0,0.000,0.144,0.007,0.180,0.344,0.066,0.014,0.079,0.235,0.034,-0.009,0.054,0.203,0.044,0.002,0.047,0.000,0.000,0.000,0.000,0.344,0.066,0.014,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.235,0.034,-0.009,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.203,0.044,0.002,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.144,0.007,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-08-08 07:45:00,50.603,229.397,231.345,231.707,230.816,398.651,402.219,399.260,400.043,7.661,3.555,2.989,4.735,0.891,0.650,0.981,0.849,L,L,C,L,R,L,R,R,C,R,R,L,R,R,L,R,0.000,1.000,7.652,0.891,0.000,1.000,0.000,1.000,3.558,0.649,0.000,1.000,0.000,1.000,2.985,0.982,0.000,1.000,1.000,0.849,1.000,1.565,0.535,0.679,2.779,0.643,-0.131,0.033,0.545,1.757,0.822,0.692,3.272,0.000,0.000,0.000,1.565,0.643,1.756,0.000,0.000,0.000,0.000,0.000,0.000,0.535,-0.131,0.823,0.000,0.000,0.000,0.000,0.000,0.000,0.679,0.033,0.692,0.000,0.000,0.000,0.000,0.000,0.000,2.779,0.544,3.273,0.000,0.000,0.000,35137.801,51027.398,36615.801,122781.000,11387.000,23524.699,226.200,32114.900,18469.199,443.500,17081.600,19034.801,499.500,60466.699,61011.699,1166.000,13668.500,10975.900,14410.600,39055.000,3201.200,8894.600,1572.800,5956.600,3554.300,1465.000,2246.200,10346.400,1818.000,11388.400,22761.100,4841.000,41243.301,53473.301,44406.398,139123.000,11644.600,27991.301,1607.400,32861.102,19019.500,1592.800,17621.100,24862.500,1922.900,62006.801,71847.898,5107.500,1.000,151,238,195,194,98.800,151,0,1.448,69,238,0,1.466,104,195,0,1.453,23,0,0,0.000,2696,71,2.000,0,0,0.000,0,0,0.000,9999,123,18.500,0,0,0.000,0,0,0.000,2177,67,3.500,0,0,0.000,0.313,0.033,0.383,0.788,0.155,0.046,0.181,0.473,0.070,-0.018,0.110,0.401,0.089,0.005,0.093,0.000,0.000,0.000,0.000,0.788,0.155,0.046,0.181,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.473,0.070,-0.018,0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.089,0.005,0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.313,0.033,0.383,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-08-08 07:46:00,50.413,229.836,230.633,231.336,230.601,398.577,400.718,399.125,399.473,7.697,6.776,2.994,5.822,0.885,0.922,0.979,0.916,L,L,C,L,R,L,R,R,C,R,R,L,R,R,L,R,0.000,1.000,7.705,0.884,0.000,1.000,0.000,1.000,6.785,0.921,0.000,1.000,0.000,1.000,2.998,0.978,0.000,1.000,1.000,0.917,1.000,1.566,1.441,0.678,3.685,0.647,-0.052,0.033,0.627,1.769,1.563,0.693,4.024,0.000,0.000,0.000,1.566,0.648,1.772,0.000,0.000,0.000,0.000,0.000,0.000,1.441,-0.052,1.565,0.000,0.000,0.000,0.000,0.000,0.000,0.678,0.033,0.694,0.000,0.000,0.000,0.000,0.000,0.000,3.685,0.630,4.021,0.000,0.000,0.000,35137.801,51027.398,36615.801,122781.000,11387.000,23524.699,226.200,32114.900,18469.199,443.500,17081.600,19034.801,499.500,60466.699,61011.699,1166.000,13668.500,10975.900,14410.600,39055.000,3201.200,8894.600,1572.800,5956.600,3554.300,1465.000,2246.200,10346.400,1818.000,11388.400,22761.100,4841.000,41243.301,53473.301,44406.398,139123.000,11644.600,27991.301,1607.400,32861.102,19019.500,1592.800,17621.100,24862.500,1922.900,62006.801,71847.898,5107.500,0.600,140,215,192,182,80.000,140,0,1.445,57,215,0,1.462,89,192,0,1.454,0,0,0,0.000,2719,60,2.000,0,0,0.000,0,0,0.000,4073,759,5.000,0,0,0.000,0,0,0.000,2134,59,3.400,0,0,0.000,0.498,0.069,0.601,1.298,0.259,0.089,0.298,0.711,0.106,-0.026,0.164,0.600,0.134,0.007,0.139,0.000,0.000,0.000,0.000,1.298,0.259,0.089,0.298,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.710,0.106,-0.026,0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.134,0.007,0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.498,0.069,0.601,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-08-08 07:47:00,50.216,229.462,232.067,232.007,231.179,398.758,402.403,398.932,400.031,15.171,7.409,10.005,10.862,0.943,0.926,0.915,0.931,L,L,R,L,R,L,R,R,R,R,R,L,R,R,L,R,0.000,1.000,15.038,0.952,0.000,1.000,0.000,1.000,7.398,0.931,0.000,1.000,0.000,1.000,9.914,0.926,0.000,1.000,1.000,0.933,1.000,3.282,1.593,2.124,7.000,0.989,0.000,0.788,1.777,3.481,1.720,2.321,7.522,0.000,0.000,0.000,3.282,0.987,3.448,0.000,0.000,0.000,0.000,0.000,0.000,1.596,0.000,1.715,0.000,0.000,0.000,0.000,0.000,0.000,2.128,0.783,2.298,0.000,0.000,0.000,0.000,0.000,0.000,7.007,1.768,7.509,0.000,0.000,0.000,35137.898,51027.398,36615.801,122781.102,11387.000,23524.801,226.200,32114.900,18469.199,443.500,17081.600,19034.801,499.500,60466.699,61011.801,1166.000,13668.500,10975.900,14410.600,39055.000,3201.200,8894.600,1572.800,5956.600,3554.300,1465.000,2246.200,10346.400,1818.000,11388.400,22761.100,4841.000,41243.398,53473.301,44406.398,139123.094,11644.600,27991.400,1607.400,32861.102,19019.500,1592.800,17621.100,24862.500,1922.900,62006.801,71848.000,5107.500,1.100,135,196,146,159,68.200,135,0,1.443,69,196,0,1.458,79,146,0,1.444,0,0,0,0.000,1637,761,1.400,0,0,0.000,0,0,0.000,3729,904,4.400,0,0,0.000,0,0,0.000,1552,1163,1.400,0,0,0.000,0.788,0.136,0.938,1.942,0.387,0.140,0.446,1.161,0.197,-0.028,0.268,0.967,0.204,0.024,0.224,0.000,0.000,0.000,0.000,1.942,0.387,0.140,0.446,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.161,0.197,-0.028,0.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.967,0.204,0.024,0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.788,0.136,0.938,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-08-08 07:48:00,50.098,229.006,231.638,231.507,230.717,398.792,402.348,398.653,399.931,15.126,7.732,10.568,11.142,0.947,0.937,0.945,0.944,L,L,R,L,R,L,R,R,R,R,R,L,R,R,L,R,0.000,1.000,15.202,0.941,0.000,1.000,0.000,1.000,7.723,0.937,0.000,1.000,0.000,1.000,10.620,0.940,0.000,1.000,1.000,0.944,1.000,3.278,1.678,2.312,7.268,0.942,0.000,0.708,1.649,3.462,1.791,2.447,7.700,0.000,0.000,0.000,3.278,0.943,3.484,0.000,0.000,0.000,0.000,0.000,0.000,1.678,0.000,1.790,0.000,0.000,0.000,0.000,0.000,0.000,2.312,0.709,2.460,0.000,0.000,0.000,0.000,0.000,0.000,7.268,1.650,7.701,0.000,0.000,0.000,35137.898,51027.398,36615.898,122781.203,11387.000,23524.801,226.200,32114.900,18469.199,443.500,17081.600,19034.900,499.500,60466.699,61011.898,1166.000,13668.500,10975.900,14410.600,39055.000,3201.200,8894.600,1572.800,5956.600,3554.300,1465.000,2246.200,10346.400,1818.000,11388.400,22761.100,4841.000,41243.500,53473.398,44406.500,139123.406,11644.600,27991.500,1607.400,32861.102,19019.600,1592.800,17621.100,24862.600,1922.900,62006.801,71848.297,5107.500,1.100,136,197,149,160,66.700,136,0,1.443,69,197,0,1.458,84,149,0,1.439,0,0,0,0.000,1612,777,1.400,0,0,0.000,0,0,0.000,3571,1019,4.200,0,0,0.000,0,0,0.000,1473,1229,1.300,0,0,0.000,1.246,0.253,1.432,2.934,0.599,0.206,0.673,1.649,0.302,-0.028,0.382,1.630,0.345,0.075,0.377,0.000,0.000,0.000,0.000,2.934,0.599,0.206,0.673,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.649,0.302,-0.028,0.381,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.630,0.345,0.075,0.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.246,0.253,1.431,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-08-08 07:49:00,50.078,229.019,231.706,231.578,230.768,398.602,402.458,398.707,399.922,15.553,7.872,10.932,11.452,0.951,0.941,0.945,0.947,L,L,R,L,R,L,R,R,R,R,R,L,R,R,L,R,0.000,1.000,15.547,0.952,0.000,1.000,0.000,1.000,7.869,0.941,0.000,1.000,0.000,1.000,10.933,0.945,0.000,1.000,1.000,0.945,1.000,3.387,1.716,2.391,7.494,0.896,0.000,0.688,1.584,3.562,1.824,2.532,7.917,0.000,0.000,0.000,3.387,0.896,3.560,0.000,0.000,0.000,0.000,0.000,0.000,1.716,0.000,1.823,0.000,0.000,0.000,0.000,0.000,0.000,2.391,0.688,2.531,0.000,0.000,0.000,0.000,0.000,0.000,7.494,1.584,7.931,0.000,0.000,0.000,35138.000,51027.500,36615.898,122781.398,11387.000,23524.900,226.200,32114.900,18469.301,443.500,17081.600,19034.900,499.500,60466.699,61012.102,1166.000,13668.500,10975.900,14410.600,39055.000,3201.200,8894.600,1572.800,5956.600,3554.300,1465.000,2246.200,10346.400,1818.000,11388.400,22761.100,4841.000,41243.500,53473.398,44406.500,139123.406,11644.600,27991.500,1607.400,32861.102,19019.600,1592.800,17621.100,24862.600,1922.900,62006.801,71848.297,5107.500,1.100,136,194,150,160,67.200,136,0,1.443,70,194,0,1.457,79,150,0,1.439,0,0,0,0.000,1596,774,1.400,0,0,0.000,0,0,0.000,3501,1001,4.000,0,0,0.000,0,0,0.000,1439,1250,1.300,0,0,0.000,1.731,0.364,1.947,3.952,0.819,0.269,0.906,2.163,0.413,-0.028,0.501,2.334,0.498,0.123,0.540,0.000,0.000,0.000,0.000,3.952,0.819,0.269,0.906,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.162,0.413,-0.028,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.334,0.498,0.123,0.540,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.731,0.364,1.947,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-08-08 07:50:00,50.186,229.273,232.021,231.939,231.078,398.825,402.630,398.973,400.143,15.883,7.898,11.048,11.610,0.952,0.940,0.948,0.948,L,L,R,L,R,L,R,R,R,R,R,L,R,R,L,R,0.000,1.000,15.884,0.952,0.000,1.000,0.000,1.000,7.906,0.939,0.000,1.000,0.000,1.000,11.071,0.947,0.000,1.000,1.000,0.949,1.000,3.467,1.722,2.430,7.619,0.885,0.000,0.677,1.561,3.641,1.833,2.562,8.036,0.000,0.000,0.000,3.467,0.884,3.641,0.000,0.000,0.000,0.000,0.000,0.000,1.722,0.000,1.834,0.000,0.000,0.000,0.000,0.000,0.000,2.430,0.676,2.567,0.000,0.000,0.000,0.000,0.000,0.000,7.619,1.557,8.025,0.000,0.000,0.000,35138.000,51027.500,36615.898,122781.398,11387.000,23524.900,226.200,32114.900,18469.301,443.500,17081.600,19034.900,499.500,60466.699,61012.102,1166.000,13668.500,10975.900,14410.600,39055.000,3201.200,8894.600,1572.800,5956.600,3554.300,1465.000,2246.200,10346.400,1818.000,11388.400,22761.100,4841.000,41243.602,53473.398,44406.602,139123.594,11644.600,27991.600,1607.400,32861.102,19019.600,1592.800,17621.100,24862.699,1922.900,62006.801,71848.500,5107.500,1.100,138,192,150,160,68.300,138,0,1.442,80,192,0,1.451,77,150,0,1.444,21,0,0,0.000,1576,802,1.400,0,0,0.000,0,0,0.000,3487,1069,4.000,0,0,0.000,0,0,0.000,1404,1277,1.300,0,0,0.000,2.228,0.470,2.474,4.986,1.045,0.329,1.143,2.687,0.528,-0.028,0.622,3.059,0.656,0.169,0.708,0.000,0.000,0.000,0.000,4.986,1.045,0.329,1.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.687,0.528,-0.028,0.622,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.059,0.656,0.169,0.708,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.228,0.470,2.473,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-08-08 07:51:00,49.951,229.347,230.998,231.145,230.497,398.666,401.021,398.597,399.428,16.036,12.329,11.296,13.220,0.952,0.975,0.949,0.958,L,L,C,L,R,L,R,R,C,R,R,L,R,R,L,R,0.000,1.000,16.021,0.952,0.000,1.000,0.000,1.000,12.325,0.974,0.000,1.000,0.000,1.000,11.286,0.949,0.000,1.000,1.000,0.959,1.000,3.501,2.775,2.477,8.754,0.913,-0.123,0.667,1.457,3.678,2.848,2.611,9.137,0.000,0.000,0.000,3.501,0.913,3.676,0.000,0.000,0.000,0.000,0.000,0.000,2.775,-0.123,2.849,0.000,0.000,0.000,0.000,0.000,0.000,2.477,0.667,2.610,0.000,0.000,0.000,0.000,0.000,0.000,8.758,1.428,9.137,0.000,0.000,0.000,35138.102,51027.500,36616.000,122781.602,11387.000,23525.000,226.200,32114.900,18469.301,443.500,17081.600,19035.000,499.500,60466.699,61012.301,1166.000,13668.600,10975.900,14410.600,39055.102,3201.200,8894.700,1572.800,5956.600,3554.300,1465.000,2246.200,10346.400,1818.000,11388.400,22761.199,4841.000,41243.602,53473.500,44406.602,139123.703,11644.600,27991.600,1607.400,32861.102,19019.699,1592.800,17621.100,24862.699,1922.900,62006.801,71848.602,5107.500,0.800,131,175,147,151,37.500,131,0,1.441,66,175,0,1.447,65,147,0,1.444,23,0,0,0.000,1628,785,1.400,0,0,0.000,0,0,0.000,2185,500,2.100,0,0,0.000,0,0,0.000,1340,1293,1.300,0,0,0.000,2.755,0.572,3.032,6.042,1.275,0.388,1.385,3.317,0.662,-0.030,0.768,3.796,0.817,0.214,0.879,0.000,0.000,0.000,0.000,6.042,1.275,0.388,1.385,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.317,0.662,-0.030,0.768,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.796,0.817,0.214,0.879,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.755,0.572,3.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-08-08 07:52:00,50.010,229.424,230.840,231.102,230.456,399.038,400.959,398.749,399.582,16.444,13.415,11.447,13.769,0.958,0.975,0.952,0.962,L,L,C,L,R,L,R,R,C,R,R,L,R,R,L,R,0.000,1.000,16.486,0.956,0.000,1.000,0.000,1.000,13.417,0.975,0.000,1.000,0.000,1.000,11.434,0.952,0.000,1.000,1.000,0.961,1.000,3.613,3.021,2.518,9.151,0.920,-0.130,0.655,1.445,3.772,3.097,2.645,9.515,0.000,0.000,0.000,3.613,0.920,3.781,0.000,0.000,0.000,0.000,0.000,0.000,3.021,-0.130,3.098,0.000,0.000,0.000,0.000,0.000,0.000,2.518,0.654,2.643,0.000,0.000,0.000,0.000,0.000,0.000,9.151,1.446,9.527,0.000,0.000,0.000,35138.199,51027.602,36616.000,122781.797,11387.000,23525.100,226.200,32114.900,18469.400,443.500,17081.600,19035.000,499.500,60466.699,61012.500,1166.000,13668.600,10975.900,14410.600,39055.102,3201.200,8894.700,1572.800,5956.600,3554.300,1465.000,2246.200,10346.400,1818.000,11388.400,22761.199,4841.000,41243.699,53473.500,44406.602,139123.797,11644.600,27991.699,1607.400,32861.102,19019.699,1592.800,17621.100,24862.699,1922.900,62006.801,71848.703,5107.500,0.700,128,169,148,148,35.800,128,0,1.435,65,169,0,1.447,43,148,0,1.445,26,0,0,0.000,1618,789,1.400,0,0,0.000,0,0,0.000,2076,814,2.000,0,0,0.000,0,0,0.000,1313,1337,1.300,0,0,0.000,3.337,0.670,3.641,7.116,1.510,0.449,1.632,4.134,0.845,-0.038,0.957,4.548,0.982,0.258,1.053,0.000,0.000,0.000,0.000,7.115,1.510,0.449,1.632,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.133,0.845,-0.038,0.957,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.548,0.982,0.258,1.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.337,0.670,3.641,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-08-08 07:53:00,50.098,229.778,230.829,231.566,230.724,398.776,400.909,399.484,399.723,16.809,13.778,10.007,13.532,0.957,0.976,0.928,0.956,L,L,C,L,R,L,R,R,C,R,R,L,R,R,L,R,0.000,1.000,16.823,0.955,0.000,1.000,0.000,1.000,13.749,0.977,0.000,1.000,0.000,1.000,9.978,0.930,0.000,1.000,1.000,0.959,1.000,3.695,3.105,2.151,8.951,0.903,-0.149,0.695,1.448,3.862,3.181,2.317,9.360,0.000,0.000,0.000,3.695,0.903,3.869,0.000,0.000,0.000,0.000,0.000,0.000,3.105,-0.149,3.176,0.000,0.000,0.000,0.000,0.000,0.000,2.151,0.695,2.313,0.000,0.000,0.000,0.000,0.000,0.000,8.951,1.444,9.329,0.000,0.000,0.000,35138.199,51027.602,36616.102,122781.898,11387.000,23525.100,226.200,32114.900,18469.400,443.500,17081.600,19035.100,499.500,60466.699,61012.602,1166.000,13668.600,10975.900,14410.600,39055.102,3201.200,8894.700,1572.800,5956.600,3554.300,1465.000,2246.200,10346.400,1818.000,11388.400,22761.199,4841.000,41243.801,53473.602,44406.699,139124.094,11644.600,27991.801,1607.400,32861.102,19019.801,1592.800,17621.100,24862.801,1922.900,62006.801,71849.000,5107.500,0.700,136,175,151,154,50.400,136,0,1.443,68,175,0,1.448,59,151,0,1.445,33,0,0,0.000,1707,796,1.400,0,0,0.000,0,0,0.000,1982,762,1.900,0,0,0.000,0,0,0.000,1568,1508,1.400,0,0,0.000,3.945,0.766,4.276,8.214,1.750,0.510,1.884,5.026,1.045,-0.046,1.163,5.312,1.150,0.302,1.230,0.000,0.000,0.000,0.000,8.214,1.750,0.510,1.884,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.025,1.045,-0.046,1.163,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.312,1.150,0.302,1.230,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.945,0.766,4.276,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-08-08 07:54:00,50.029,229.746,230.738,231.519,230.668,398.944,400.618,399.448,399.670,16.890,14.020,9.958,13.623,0.957,0.974,0.935,0.957,L,L,C,L,R,L,R,R,C,R,R,L,R,R,L,R,0.000,1.000,16.911,0.954,0.000,1.000,0.000,1.000,14.046,0.971,0.000,1.000,0.000,1.000,9.947,0.935,0.000,1.000,1.000,0.957,1.000,3.712,3.150,2.156,9.019,0.914,-0.149,0.700,1.465,3.880,3.235,2.305,9.420,0.000,0.000,0.000,3.712,0.914,3.890,0.000,0.000,0.000,0.000,0.000,0.000,3.150,-0.149,3.244,0.000,0.000,0.000,0.000,0.000,0.000,2.156,0.700,2.305,0.000,0.000,0.000,0.000,0.000,0.000,9.019,1.463,9.427,0.000,0.000,0.000,35138.301,51027.699,36616.102,122782.102,11387.000,23525.199,226.200,32114.900,18469.500,443.500,17081.600,19035.100,499.500,60466.699,61012.801,1166.000,13668.600,10975.900,14410.600,39055.102,3201.200,8894.700,1572.800,5956.600,3554.300,1465.000,2246.200,10346.400,1818.000,11388.400,22761.199,4841.000,41243.801,53473.602,44406.699,139124.094,11644.600,27991.801,1607.400,32861.102,19019.801,1592.800,17621.100,24862.801,1922.900,62006.801,71849.000,5107.500,0.700,136,178,149,154,50.700,136,0,1.443,65,178,0,1.449,49,149,0,1.445,33,0,0,0.000,1699,792,1.400,0,0,0.000,0,0,0.000,1937,905,1.900,0,0,0.000,0,0,0.000,1528,1504,1.400,0,0,0.000,4.548,0.862,4.906,9.334,1.995,0.571,2.141,5.941,1.251,-0.056,1.374,6.007,1.302,0.348,1.390,0.000,0.000,0.000,0.000,9.333,1.995,0.571,2.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.941,1.251,-0.056,1.374,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.007,1.302,0.348,1.390,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.548,0.862,4.906,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
